Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,MP
Jayson Papeau,fr FRA,MF,26-247,1.0,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Mikołaj Rakowski,pl POL,MF,20-337,1.0,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Stefan Savic,at AUT,MF,29-038,1.0,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Bartosz Kieliba,pl POL,DF,32-199,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Mateusz Kustosz,pl POL,GK,20-034,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Jakub Paszkowski,pl POL,MF,16-153,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Marcin Szeibe,pl POL,FW,22-223,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Squad Total,,,26.8,19.0,209,1710.0,19.0,19.0,13.0,32.0,18.0,1.0,1.0,40.0,0.0,,,,1.0,0.68,1.68,0.95,1.63,,
Opponent Total,,,27.6,19.0,209,1710.0,19.0,17.0,12.0,29.0,16.0,1.0,1.0,29.0,2.0,,,,0.89,0.63,1.53,0.84,1.47,,
Konrad Poprawa,pl POL,DF,24-257,19.0,19,1709.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Patrick Olsen,dk DEN,MF,28-299,19.0,19,1678.0,18.6,3.0,0.0,3.0,2.0,1.0,2.0,6.0,0.0,,,,0.16,0.0,0.16,0.11,0.11,Matches,
Víctor García Marín,es ESP,"DF,MF",28-261,20.0,18,1608.0,17.9,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.17,0.17,0.0,0.17,Matches,
John Yeboah,de GER,"MF,FW",22-238,19.0,15,1375.0,15.3,4.0,1.0,5.0,3.0,1.0,1.0,2.0,0.0,,,,0.26,0.07,0.33,0.2,0.26,Matches,
Erik Expósito,es ESP,FW,26-238,18.0,15,1361.0,15.1,4.0,1.0,5.0,3.0,1.0,2.0,2.0,0.0,,,,0.26,0.07,0.33,0.2,0.26,Matches,
Daníel Leó Grétarsson,is ISL,DF,27-137,17.0,15,1307.0,14.5,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,,,,0.07,0.14,0.21,0.07,0.21,Matches,
Petr Schwarz,cz CZE,MF,31-096,16.0,14,1300.0,14.4,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,,,,0.14,0.07,0.21,0.14,0.21,Matches,
Patryk Janasik,pl POL,DF,25-175,15.0,12,1176.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Matías Nahuel,es ESP,MF,26-086,18.0,11,1052.0,11.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.09,0.09,0.0,0.09,Matches,
Michał Szromnik,pl POL,GK,29-349,11.0,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Diogo Verdasca,pt POR,DF,26-113,11.0,11,910.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,,,,0.0,0.1,0.1,0.0,0.1,Matches,
